"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","X","prob","source","log_spanish","length","log_freq_z","duration_z","length_z","rate_z"
"38",3540,"arm","00610","00758947957","TextGrid",1,"ORT-MAU","IntervalTier",0,4.778667,2.636,3.016,"falta",9,"falta",8.7890618869237,"m",42526,6190,148.7980769,3.791760804,0.38,33,0.000871193050010125,"spanish",-7.04564696386802,5,0.13574451066238,0.199268549017899,-0.577207092710356,-0.21217625867606
"39",3580,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,0.806,1.166,"contar",5,"contar",10.0203804347826,"m",22217,2624,63.07692308,3.419129308,0.36,34,0.00335073853872077,"spanish",-5.69857449812311,6,-0.241946540933157,0.0347896713286657,0.189222159869235,0.321265285392536
"40",3605,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,1.686,2.156,"mañana",10,"mañana",10.0203804347826,"m",58130,26537,637.9086538,4.42386819,0.47,35,0.00225587700180844,"spanish",-6.0942164673076,6,0.776434591620126,0.939423498619451,0.189222159869235,0.321265285392536
"41",3639,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,3.506,3.816,"mucho",14,"mucho",10.0203804347826,"m",61492,51568,1239.615385,4.71238871,0.31,36,0.000347224380333543,"spanish",-7.9655393577887,5,1.06887261625155,-0.376407522894416,-0.577207092710356,0.321265285392536
"42",3645,"arm","00610","00768981935","TextGrid",1,"ORT-MAU","IntervalTier",0,5.888,3.816,4.176,"viento",15,"viento",10.0203804347826,"m",93062,1596,38.36538462,3.203304916,0.36,37,0.00337835923479585,"spanish",-5.69036512084054,6,-0.460701376338824,0.0347896713286693,0.189222159869235,0.321265285392536
"43",3675,"arm","00610","00826566864","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,1.356,1.696,"rayas",5,"rayas",4.766948836934,"m",74466,135,3.245192308,2.133538908,0.34,38,0.00126489731635876,"spanish",-6.67276433293627,5,-1.54499256712609,-0.129689206360568,-0.577207092710356,-1.95466783369197
"44",3823,"arm","00610","00836503570","TextGrid",1,"ORT-MAU","IntervalTier",0,6.912,1.996,2.246,"todo",7,"todo",8.53587962962963,"m",89015,120738,2902.355769,5.081847575,0.25,39,0.000112289292517902,"spanish",-9.09443204789035,4,1.44334795916014,-0.869844155962116,-1.34363634528995,-0.321861875364422
"45",4157,"arm","00610","00944096074","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,1.976,2.206,"esta",9,"esta",6.72387338139558,"m",39520,91528,2200.192308,4.961558718,0.23,40,0.000871319542984262,"spanish",-7.04550177929389,4,1.321425831312,-1.03432303365135,-1.34363634528995,-1.1068735302288
"46",4287,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,1.636,1.806,"Vida",6,"vida",11.953125466919,"m",93003,45942,1104.375,4.66221935,0.17,41,0.00049591788472793,"spanish",-7.6091001999291,4,1.01802206137447,-1.52775966671905,-1.34363634528995,1.15858434959938
"47",4317,"arm","00610","00962289604","TextGrid",1,"ORT-MAU","IntervalTier",0,8.533333,2.906,3.386,"artículo",11,"artículo",11.953125466919,"m",9335,1364,32.78846154,3.135132651,0.48,42,0.00635525634499622,"spanish",-5.05847303762535,8,-0.52979927797594,1.02166293746407,1.72208066502842,1.15858434959938
